year,week,psi,rain,patient,result
2015.0,4.0,57.0,6.0,2918.0,2735.830810546875
2015.0,5.0,46.0,6.0,2931.0,2738.248779296875
2015.0,6.0,59.0,6.0,2997.0,2733.9921875
2015.0,7.0,48.0,6.0,2959.0,2736.412353515625
2015.0,8.0,50.0,6.0,2821.0,2735.21435546875
2015.0,9.0,51.0,6.0,2590.0,2734.293701171875
2015.0,10.0,50.0,5.0,2513.0,2733.852294921875
2015.0,11.0,51.0,5.0,2288.0,2732.930419921875
2015.0,12.0,64.0,5.0,2401.0,2728.65771484375
2015.0,13.0,53.0,5.0,2341.0,2731.083740234375
2015.0,14.0,53.0,13.0,2366.0,2731.048828125
2015.0,15.0,49.0,13.0,2469.0,2731.52197265625
2015.0,16.0,59.0,13.0,2534.0,2728.06640625
2015.0,17.0,52.0,13.0,2645.0,2729.3818359375
2015.0,18.0,55.0,13.0,2882.0,2727.888671875
2015.0,19.0,47.0,12.0,2757.0,2729.409912109375
2015.0,20.0,49.0,12.0,2828.0,2728.197509765625
2015.0,21.0,52.0,12.0,3001.0,2726.7021484375
2015.0,22.0,46.0,12.0,2844.0,2727.73779296875
2015.0,23.0,47.0,10.0,2637.0,2726.6552734375
2015.0,24.0,50.0,10.0,2631.0,2725.15869140625
2015.0,25.0,52.0,10.0,2651.0,2723.9423828125
2015.0,26.0,54.0,10.0,2319.0,2722.724365234375
2015.0,27.0,64.0,13.0,2357.0,2719.4609375
2015.0,28.0,55.0,13.0,2318.0,2721.346435546875
2015.0,29.0,51.0,13.0,2455.0,2721.819091796875
2015.0,30.0,49.0,13.0,2392.0,2721.726806640625
2015.0,31.0,52.0,13.0,2475.0,2720.22021484375
2015.0,32.0,57.0,11.0,2880.0,2718.005615234375
2015.0,33.0,59.0,11.0,2810.0,2716.77978515625
2015.0,34.0,76.0,11.0,2625.0,2711.301513671875
2015.0,35.0,71.0,11.0,2423.0,2712.05615234375
2015.0,36.0,101.0,8.0,2280.0,2702.684326171875
2015.0,37.0,110.0,8.0,2821.0,2699.460205078125
2015.0,38.0,137.0,8.0,2738.0,2691.108642578125
2015.0,39.0,138.0,8.0,2929.0,2690.151123046875
2015.0,40.0,128.0,9.0,2619.0,2692.38427734375
2015.0,41.0,97.0,9.0,2529.0,2700.542724609375
2015.0,42.0,108.0,9.0,2612.0,2696.73974609375
2015.0,43.0,133.0,9.0,2588.0,2688.93701171875
2015.0,44.0,63.0,9.0,2533.0,2708.21142578125
2015.0,45.0,69.0,13.0,2721.0,2706.092529296875
2015.0,46.0,48.0,13.0,2673.0,2711.40966796875
2015.0,47.0,50.0,13.0,2488.0,2710.171875
2015.0,48.0,45.0,13.0,2455.0,2710.928955078125
2015.0,49.0,44.0,13.0,2319.0,2710.5458984375
2015.0,50.0,44.0,19.0,2304.0,2710.275390625
2015.0,51.0,59.0,19.0,2414.0,2705.306640625
2015.0,52.0,42.0,19.0,2494.0,2709.50439453125
2016.0,1.0,38.0,15.0,2604.0,2743.595947265625
2016.0,2.0,40.0,15.0,2775.0,2742.40087890625
2016.0,3.0,51.0,15.0,2946.0,2738.696533203125
2016.0,4.0,42.0,15.0,3111.0,2740.564208984375
2016.0,5.0,42.0,15.0,3125.0,2739.923095703125
2016.0,6.0,44.0,10.0,3740.0,2738.32177734375
2016.0,7.0,48.0,10.0,3174.0,2736.56591796875
2016.0,8.0,49.0,10.0,3148.0,2735.64501953125
2016.0,9.0,50.0,10.0,3001.0,2734.72265625
2016.0,10.0,47.0,6.0,2702.0,2734.60400390625
2016.0,11.0,54.0,6.0,2382.0,2732.00927734375
2016.0,12.0,60.0,6.0,2596.0,2729.68994140625
2016.0,13.0,64.0,6.0,2530.0,2727.92578125
2016.0,14.0,59.0,14.0,2417.0,2729.27978515625
2016.0,15.0,60.0,14.0,2383.0,2728.349609375
2016.0,16.0,58.0,14.0,2487.0,2728.2607421875
2016.0,17.0,60.0,14.0,2520.0,2727.0478515625
2016.0,18.0,55.0,14.0,2715.0,2727.8017578125
2016.0,19.0,54.0,12.0,2648.0,2727.281494140625
2016.0,20.0,54.0,12.0,2853.0,2726.630126953125
2016.0,21.0,42.0,12.0,2775.0,2729.35107421875
2016.0,22.0,55.0,12.0,2634.0,2725.0439453125
2016.0,23.0,55.0,13.0,2521.0,2724.463623046875
2016.0,24.0,47.0,13.0,2564.0,2726.06298828125
2016.0,25.0,50.0,13.0,2819.0,2724.563720703125
2016.0,26.0,51.0,13.0,3021.0,2723.626953125
2016.0,27.0,50.0,20.0,2989.0,2723.76611328125
